No,B,V,mas,T
3015,7.100,6.852,7.51,8610
3016,8.489,8.005,7.03,6900
3017,10.970,9.862,25.79,4410
3018,8.368,7.339,4.80,4660
3019,10.022,9.456,8.39,5940
3020,6.609,6.145,24.32,6500
3021,9.510,9.036,4.86,6500
3022,6.948,5.748,6.40,4500
3023,7.993,7.086,5.15,4800
3024,9.508,9.043,6.17,6900
3025,7.506,5.892,3.13,4050
3026,8.180,7.908,5.71,7350
3027,8.638,8.230,4.86,6370
3028,8.956,8.357,16.82,5370
3029,9.559,9.020,9.52,5370
3030,6.752,5.683,10.35,4800
3031,6.291,6.367,4.86,10500
3032,9.718,9.246,5.26,7030
3033,8.942,8.506,9.22,6370
3034,9.314,8.661,6.48,5700
3035,9.029,8.494,9.07,5750
3036,8.809,8.232,10.64,5790
3037,8.862,8.401,10.42,6900
3038,8.534,7.941,11.53,5370
3039,9.567,8.715,11.64,5150
3040,8.868,8.746,3.44,8600
3041,8.227,7.902,5.11,7460
3042,8.229,7.715,11.43,5750
3043,9.678,8.510,3.94,4500
3044,9.753,8.612,50.72,4410
3045,10.154,9.430,7.36,5700
3046,7.502,6.514,6.40,4660
3047,9.289,8.786,8.89,6500
3048,7.316,6.921,13.64,6900
3049,10.312,9.668,13.77,5560
3050,10.548,9.621,22.18,4310
3051,9.503,8.904,14.32,5900
3052,9.359,8.994,5.94,7300
3053,9.064,8.543,9.25,6250
3054,8.553,7.844,29.95,4930
3055,8.104,7.854,9.19,7600
3056,10.491,9.842,9.71,4930
3057,11.295,10.512,13.22,4550
3058,9.810,9.203,11.89,5370
3059,6.594,6.094,37.65,6250
