x	y
0.004	-0.191
-0.042	-0.420
0.005	-0.219
-0.005	-0.232
-0.005	-0.166
-0.011	-0.152
0.002	-0.130
-0.007	-0.166
-0.036	-0.355
-0.758	0.548
-0.002	-0.121
0.009	-0.289
0.004	-0.124
0.027	-0.350
-0.003	-0.181
0.005	-0.237
-0.040	-0.399
0.043	-0.437
0.025	-0.452
-0.002	-0.208
-0.000	-0.128
0.012	-0.174
0.000	-0.279
0.001	-0.277
0.031	-0.362
0.002	-0.363
-0.012	-0.174
0.025	-0.343
-0.014	-0.327
-0.011	-0.157
0.151	1.028
0.001	-0.129
-0.005	-0.284
0.030	-0.383
-0.033	-0.345
-0.007	-0.132
-0.018	-0.316
0.079	1.010
-0.006	-0.140
-0.000	-0.334
0.008	-0.148
0.004	-0.278
0.006	-0.157
-0.009	-0.144
-0.009	-0.165
0.002	-0.153
0.004	-0.308
0.009	-0.180
-0.048	-0.458
-0.002	-0.153
0.001	-0.281
-0.003	-0.250
0.001	-0.279
0.052	-0.366
-0.009	-0.173
0.056	-0.372
0.001	-0.239
0.013	-0.299
0.003	-0.291
-0.006	-0.157
-0.002	-0.207
0.007	-0.131
-0.006	-0.211
0.001	-0.120
0.006	-0.226
0.012	-0.297
0.006	-0.156
-0.008	-0.144
-0.001	-0.193
-0.081	-0.403
-0.185	-0.477
-0.001	-0.269
-0.044	-0.392
-0.008	-0.173
-0.038	0.687
0.082	0.968
-0.051	0.699
0.081	0.923
-0.066	0.708
0.065	0.680
0.101	0.701
0.043	0.761
-0.051	0.767
-0.053	0.757
-0.096	0.703
-0.278	0.786
0.023	0.779
0.100	1.017
0.032	0.742
-0.063	0.682
-0.020	0.743
-0.104	0.805
0.121	0.759
0.054	0.681
-0.186	0.752
0.139	0.781
-0.143	0.825
0.119	0.754
-0.030	0.711
-0.167	0.783
0.065	0.704
-0.085	0.687
-0.216	0.830
0.095	0.842
-0.316	0.756
-0.050	0.676
-0.177	0.791
0.185	0.727
0.119	0.728
-0.011	0.668
-0.167	0.717
0.096	0.715
-0.064	0.919
0.199	0.727
0.185	0.765
-0.010	0.705
0.174	0.731
0.360	0.766
-0.006	0.684
0.137	0.750
-0.628	0.690
-0.024	0.682
-0.052	0.795
0.026	0.669
0.138	0.743
0.050	0.811
-0.016	0.668
0.011	0.679
0.051	0.712
0.261	0.734
-0.017	0.679
0.048	0.705
0.113	0.867
-0.003	0.810
-0.374	0.893
0.115	0.820
-0.038	0.686
0.004	0.722
-0.069	0.683
-0.135	0.705
-0.129	0.803
0.143	0.751
-0.231	0.735
0.037	0.734
-0.218	0.799
0.619	0.705
-0.023	0.740
-0.025	0.689
0.006	0.711
0.009	0.667
0.079	0.724
0.270	0.739
0.089	0.919
-0.022	0.706
0.042	0.798
0.003	0.941
0.109	0.743
0.153	0.730
0.059	0.818
0.051	0.679
-0.046	0.711
0.064	0.852
0.045	0.757
-0.092	0.782
-0.184	0.729
-0.148	0.762
0.041	0.679
0.285	0.735
0.037	0.677
-0.110	0.848
-0.129	0.704
-0.100	0.693
0.124	0.706
0.117	0.831
0.322	0.831
0.103	0.870
-0.079	0.782
0.151	0.739
0.096	0.851
0.023	0.678
-0.030	0.673
-0.127	0.725
0.191	0.802
0.006	0.667
0.001	0.720
0.010	0.687
-0.009	0.780
0.037	0.671
-0.218	0.744
-0.072	0.714
0.135	0.706
-0.390	0.729
-0.018	0.718
0.122	0.751
-0.077	0.684
0.240	0.831
-0.059	0.683
0.058	0.700
0.052	0.686
-0.083	0.774
-0.117	0.711
-0.169	0.716
0.128	0.728
0.191	0.935
-0.220	0.841
-0.502	0.867
-0.199	0.774
0.035	0.727
0.238	0.804
-0.101	0.696
-0.076	0.809
0.085	0.687
0.217	0.753
0.049	0.679
-0.036	0.735
0.019	0.686
-0.200	0.742
-0.379	0.976
0.080	0.797
0.189	0.736
-0.081	0.758
-0.023	0.690
-0.234	0.745
0.050	0.711
-0.458	0.759
-0.196	0.807
-0.253	0.759
0.016	0.681
0.052	0.918
-0.488	0.788
0.014	0.714
-0.069	0.719
0.093	0.690
0.052	0.693
-0.665	0.704
0.025	0.675
-0.018	0.709
-0.228	0.730
0.040	0.690
0.007	0.674
0.023	0.670
-0.136	0.707
-0.034	0.679
-0.080	0.686
-0.066	0.768
0.308	0.742
-0.068	0.690
0.021	0.687
-0.288	0.870
0.061	0.679
0.029	0.802
0.127	0.732
0.054	0.731
0.028	0.669
0.002	0.675
-0.015	0.671
-0.086	0.697
-0.074	0.695
0.059	0.679
0.054	0.677
-0.338	0.735
-0.036	0.742
0.047	0.674
0.223	0.906
0.064	0.733
-0.123	0.723
-0.272	0.744
0.343	0.738
0.005	0.708
-0.064	0.804
-0.147	0.736
0.021	0.673
-0.021	0.748
0.090	0.711
0.111	0.722
-0.180	0.787
0.046	0.685
0.213	0.907
-0.113	0.808
0.031	0.690
-0.405	0.977
0.120	0.711
0.097	0.765
-0.360	0.762
-0.147	0.710
-0.398	0.728
0.065	0.865
0.004	0.666
0.089	0.762
0.338	0.738
-0.211	0.733
-0.066	0.868
0.060	0.711
-0.056	0.775
-0.264	0.845
-0.011	0.668
-0.000	0.696
0.426	0.902
-0.077	0.694
-0.035	0.671
0.028	0.815
-0.048	0.680
-0.037	0.672
0.036	0.673
0.031	0.803
0.235	0.975
-0.228	0.754
0.093	0.785
-0.009	0.668
0.121	0.882
0.037	0.828
-0.021	0.714
-0.067	0.936
0.229	0.730
-0.299	0.758
-0.390	0.735
-0.405	0.727
-0.176	0.854
-0.137	0.753
0.022	0.674
0.055	0.807
-0.053	0.676
0.206	0.740
0.197	0.723
0.173	0.777
-0.272	0.890
-0.150	0.724
0.026	0.855
0.149	0.819
-0.091	0.726
0.078	0.685
-0.171	0.717
0.014	0.680
0.026	0.681
0.008	0.666
0.108	0.708
0.024	0.793
0.023	0.884
-0.165	0.767
0.178	0.729
0.123	0.727
0.029	0.764
0.010	0.780
0.100	0.748
-0.040	0.674
0.188	0.721
0.284	0.780
-0.231	0.730
-0.043	0.734
0.103	0.747
0.178	0.722
-0.036	0.673
-0.201	0.726
0.108	0.696
0.135	0.751
0.299	0.756
-0.115	0.729
0.012	0.730
-0.280	0.844
0.006	0.791
0.246	0.804
0.154	0.724
0.276	0.799
-0.028	0.713
0.035	0.712
-0.024	0.671
0.097	0.697
0.136	0.852
-0.011	0.721
0.127	0.815
