BV,M
0.043,2.996
0.043,0.603
0.043,0.494
0.043,1.192
0.043,2.128
0.044,1.280
0.044,2.531
0.044,1.572
0.044,0.973
0.045,-3.929
0.045,-0.047
0.045,-5.789
0.046,1.069
0.047,-0.400
0.048,2.717
0.048,1.787
0.048,-4.127
0.048,0.781
0.048,-0.133
0.048,1.485
0.048,-0.615
0.048,0.144
0.049,1.893
0.049,0.255
0.049,-3.672
0.049,-0.312
0.049,-5.046
0.050,0.414
0.050,2.278
0.050,3.299
0.050,-4.414
0.050,0.663
0.051,1.681
0.051,2.053
0.051,0.912
0.051,0.552
0.052,1.151
0.052,-4.034
0.052,1.387
0.052,-4.704
0.053,-0.514
0.053,2.585
0.054,-3.877
0.054,-4.322
0.054,1.278
0.054,1.562
0.055,0.005
0.056,2.132
0.056,1.015
0.056,-0.245
0.057,8.863
0.057,2.402
0.057,3.535
0.057,-1.828
0.058,0.805
0.058,1.851
0.058,2.717
0.058,0.224
0.058,0.616
0.058,-1.185
0.059,2.309
0.059,-0.094
0.059,2.500
0.059,1.450
0.060,0.105
0.060,1.741
0.060,0.406
0.061,1.124
0.061,1.363
0.061,-4.015
0.061,3.672
0.061,-3.105
0.061,2.000
0.062,2.803
0.062,14.166
0.063,-0.644
0.063,1.209
0.063,0.937
0.063,1.542
0.064,0.526
0.064,1.660
0.064,0.300
0.065,-0.456
0.066,2.235
0.066,1.024
0.066,-5.195
0.066,2.637
0.066,0.697
0.067,-4.188
0.067,0.841
0.068,0.016
0.068,1.894
0.068,-0.733
0.068,2.339
0.069,-0.860
0.069,2.093
0.069,0.219
0.069,-0.207
0.069,1.403
0.069,2.970
0.070,-3.152
0.070,1.109
0.071,0.395
0.071,-0.339
0.071,0.591
0.071,1.717
0.071,-6.126
0.071,1.606
0.072,-0.946
0.072,0.116
0.073,-3.799
0.073,0.944
0.073,1.817
0.073,-5.686
0.073,-4.952
0.073,0.484
0.073,12.105
0.074,1.497
0.074,2.492
0.074,-3.450
0.074,6.701
0.074,1.296
0.074,2.759
0.074,0.761
0.075,1.185
0.075,-5.490
0.075,-0.473
0.076,-0.634
0.076,2.247
0.076,0.324
0.077,-4.770
0.077,-0.256
0.077,2.599
0.077,12.884
0.077,-3.308
0.078,0.234
0.078,1.052
0.078,-0.021
0.079,-3.037
0.079,1.416
0.079,-4.169
0.079,-1.086
0.080,2.017
0.080,-0.734
0.080,1.894
0.080,0.594
0.080,3.285
0.080,1.704
0.081,0.830
0.081,0.695
0.081,1.567
0.081,-2.950
0.081,-5.407
0.081,2.375
0.081,0.411
0.082,2.154
0.082,0.069
0.083,1.798
0.083,-3.698
0.083,-0.965
0.083,1.237
0.084,0.957
0.084,2.488
0.084,1.122
0.084,1.488
0.085,1.331
0.085,0.161
0.085,-1.215
0.086,-0.207
0.086,-0.349
0.086,2.292
0.086,-3.462
0.087,1.963
0.087,1.632
0.088,2.062
0.088,-4.469
0.088,0.254
0.088,-3.348
0.089,2.571
0.090,1.022
0.090,0.750
0.090,0.859
0.090,-1.484
0.090,-4.253
0.090,0.473
0.090,0.611
0.091,1.862
0.091,2.436
0.091,9.977
0.092,1.407
0.092,-0.277
0.092,1.182
0.092,-2.413
0.092,1.767
0.092,-3.201
0.093,0.337
0.094,1.499
0.094,-2.971
0.094,-4.080
0.094,2.183
0.094,1.312
0.095,-0.709
0.095,2.931
0.095,0.133
0.095,1.585
0.096,1.973
0.096,1.674
0.097,1.107
0.098,0.419
0.098,2.086
0.098,0.545
0.098,0.674
0.099,2.377
0.099,9.712
0.099,2.823
0.099,2.290
0.099,1.231
0.099,-0.344
0.100,-1.263
0.100,2.493
0.100,-2.627
0.100,1.022
0.101,1.888
0.101,1.409
0.101,0.209
0.101,0.884
0.102,-5.265
0.102,-0.544
0.102,1.754
0.102,-5.360
0.103,0.790
0.103,-0.232
0.104,-3.453
0.104,1.526
0.104,0.062
0.106,-3.208
0.106,1.145
0.106,-1.400
0.106,0.319
0.106,2.217
0.107,1.989
0.107,0.505
0.107,0.633
0.107,1.677
0.107,-1.865
0.107,2.568
0.108,-0.618
0.109,-0.096
0.109,2.128
0.109,1.321
0.110,0.959
0.110,-4.341
0.110,-2.541
0.110,0.715
0.111,2.361
0.111,-3.518
0.111,1.905
0.111,1.448
0.111,1.599
0.112,-2.328
0.112,1.078
0.113,-3.936
0.113,0.229
0.113,0.141
0.113,1.758
0.113,1.219
0.113,0.871
0.115,-3.822
0.115,2.054
0.115,-0.260
0.115,2.273
0.115,2.437
0.116,0.589
0.116,-4.176
0.116,2.689
0.116,3.112
0.116,0.475
0.116,-3.428
0.117,2.176
0.117,0.320
0.118,-4.451
0.118,1.530
0.118,3.367
0.119,0.783
0.119,-0.361
0.119,-5.497
0.119,1.658
0.119,1.850
0.120,-0.660
0.120,2.778
0.120,0.006
0.120,1.372
0.121,1.276
0.121,0.973
0.121,-0.114
0.121,1.168
0.121,-5.189
0.121,13.261
0.122,2.878
0.122,1.063
0.123,1.971
0.123,-0.819
0.123,0.653
0.123,-1.721
0.123,1.771
0.123,2.095
