BV	M
0.180	-2.906
0.181	-0.322
0.181	2.803
0.181	0.473
0.182	1.994
0.182	1.811
0.183	1.671
0.184	1.096
0.184	2.681
0.185	2.193
0.185	-0.620
0.185	3.492
0.186	1.911
0.186	0.400
0.187	2.090
0.187	1.581
0.187	-3.836
0.187	2.427
0.187	1.302
0.188	-2.753
0.188	0.976
0.188	0.885
0.188	-3.572
0.188	1.485
0.189	-4.889
0.189	0.748
0.189	3.083
0.189	2.329
0.190	13.162
0.190	-2.489
0.190	-4.386
0.191	1.205
0.191	1.386
0.191	1.751
0.191	0.151
0.191	2.601
0.191	-3.348
0.191	-0.864
0.192	1.983
0.193	0.524
0.193	3.446
0.194	2.687
0.194	2.247
0.194	1.843
0.194	0.256
0.194	-5.431
0.195	1.632
0.195	2.805
0.195	-1.458
0.196	-3.863
0.196	-2.853
0.196	2.947
0.196	2.492
0.197	1.020
0.197	0.387
0.197	3.864
0.197	0.084
0.198	0.857
0.198	1.117
0.198	-4.153
0.199	1.495
0.199	-0.006
0.199	-3.182
0.199	2.318
0.199	2.144
0.199	0.734
0.200	3.330
0.200	1.775
0.201	3.028
0.201	2.597
0.201	4.395
0.201	2.046
0.201	-5.137
0.201	-3.585
0.202	1.276
0.202	-2.605
0.202	-2.278
0.202	1.937
0.202	-4.714
0.203	1.582
0.203	0.647
0.204	-3.318
0.204	2.860
0.204	0.298
0.204	3.157
0.204	1.855
0.206	0.945
0.206	1.398
0.206	1.693
0.207	2.711
0.207	2.441
0.207	1.142
0.207	-3.090
0.208	0.553
0.208	-3.873
0.208	2.278
0.208	-4.094
0.208	0.436
0.209	2.183
0.210	1.226
0.210	3.095
0.211	-2.214
0.211	1.778
0.211	-2.811
0.211	0.826
0.212	1.941
0.212	2.060
0.213	3.357
0.213	2.948
0.213	2.607
0.213	1.561
0.214	-3.741
0.214	-3.604
0.214	0.150
0.214	10.220
0.214	2.772
0.214	1.070
0.214	0.323
0.214	1.359
0.215	2.373
0.215	0.956
0.215	2.507
0.215	0.614
0.216	1.702
0.216	-2.675
0.216	1.469
0.217	3.148
0.218	-3.145
0.218	-3.437
0.218	1.168
0.218	-3.938
0.219	3.054
0.219	2.010
0.219	1.275
0.220	2.695
0.220	-0.178
0.220	2.866
0.220	1.905
0.220	13.640
0.221	1.813
0.221	0.095
0.221	2.197
0.221	-2.483
0.222	2.110
0.223	0.864
0.223	1.402
0.223	1.088
0.223	2.437
0.223	2.289
0.223	1.595
0.224	-4.413
0.224	0.702
0.225	2.531
0.225	4.650
0.225	2.789
0.226	-3.879
0.226	0.315
0.226	-1.244
0.226	1.498
0.227	1.202
0.227	2.972
0.228	-3.337
0.228	-4.680
0.229	1.950
0.229	2.693
0.230	-2.715
0.230	2.053
0.230	1.802
0.231	2.372
0.231	-0.149
0.231	1.294
0.231	0.526
0.231	2.179
0.232	-4.867
0.232	2.891
0.233	-3.640
0.233	0.919
0.233	2.615
0.233	1.128
0.233	1.614
0.234	0.379
0.234	-3.746
0.234	2.527
0.234	0.820
0.235	3.118
0.235	2.289
0.236	1.528
0.236	-2.630
0.236	1.000
0.237	2.785
0.237	1.888
0.237	1.712
0.237	2.108
0.237	3.010
0.237	3.380
0.238	2.437
