B-V,M_V
1.2310,-0.2618
0.7010,-3.1618
0.8340,0.8382
0.8480,2.2682
0.8780,2.1882
0.8840,0.6682
0.8100,0.8782
0.8500,2.1682
1.0150,0.8182
1.0000,1.8682
0.6470,-0.1118
1.6910,-1.2418
0.5720,4.0782
0.6150,4.4182
0.7080,5.1582
1.2410,4.2382
0.7850,3.4182
0.6000,4.7182
0.5300,5.0182
1.0190,4.0382
0.9090,3.1982
0.6810,2.5782
1.5160,-1.1118
1.1730,0.0082
1.4500,-1.1018
0.8650,0.8582
0.6260,2.6482
1.7920,3.8282
0.4970,3.2682
0.5890,5.1482
0.6160,4.5082
0.7560,3.7682
0.8980,2.2482
0.7160,0.7682
0.4480,-1.6018
0.7250,0.9182
0.6720,5.5582
0.7070,5.4182
0.6430,5.6982
0.8530,5.8082
0.7850,5.7582
0.6790,5.4382
0.9520,1.3082
0.9680,0.8982
0.8750,1.8682
1.0090,0.5082
1.4110,-0.8418
1.0730,0.4282
0.8530,1.8382
0.8330,0.8182
1.1170,0.3682
1.0680,0.4782
1.3130,-0.7718
0.9650,1.2482
1.0770,0.3182
1.5780,-1.3718
0.8400,5.7582
0.6600,5.0282
0.6100,4.3482
0.7400,5.7682
0.6600,5.5882
0.8300,5.7982
0.6300,4.3682
0.8700,5.7682
0.6600,3.9382
0.6700,5.0382
0.4900,3.4882
0.7800,5.7482
0.5700,4.1082
0.6500,4.8082
0.7900,5.6082
0.8500,2.2282
0.6500,5.3182
0.6700,5.2782
0.6300,4.3082
0.8000,3.0182
0.6200,3.9982
0.8000,5.2182
0.7600,5.6482
0.7900,3.8682
0.7300,5.6482
0.5600,4.2582
0.6000,4.7582
0.7900,5.7582
0.6900,5.2782
0.6900,5.5882
0.6900,3.8882
0.6700,4.9982
0.6000,4.6482
0.7300,5.4282
0.6600,4.9182
0.6800,5.3282
0.6300,4.7082
0.8900,5.6882
0.7800,5.7982
0.6900,5.5982
0.5800,4.7182
0.6500,5.0882
0.6500,5.0882
0.7900,3.8782
0.6800,4.0082
0.6800,4.9282
0.6900,5.4182
0.7400,5.7382
0.5200,5.8982
0.7200,5.3282
0.8400,5.6382
0.6500,5.3482
0.8700,2.2482
0.6100,4.9982
0.6000,4.6182
0.6200,4.3982
0.6000,4.1882
0.4700,4.6182
0.7800,3.8582
0.9300,1.6282
0.7800,3.6682
0.7700,5.8082
0.8800,5.7782
0.6900,5.2482
0.6900,3.9282
0.5700,4.1582
0.5800,4.6382
0.5300,4.2282
