B-V,M_V
0.6950,6.3600
0.6770,6.3640
0.7080,6.3650
0.6510,6.3670
0.6920,6.3690
0.7390,6.3710
0.6730,6.3720
0.6480,6.3730
1.5460,6.3750
0.7110,6.3760
0.6740,6.3790
0.6990,6.3790
0.6580,6.3800
0.7090,6.3800
0.6160,6.3810
0.6870,6.3840
0.6650,6.3840
0.7820,6.3850
0.7370,6.3860
0.9290,6.3870
0.6550,6.3880
0.6650,6.3880
0.6400,6.3900
0.6980,6.3910
0.5610,6.3910
0.6430,6.3920
0.6590,6.3920
0.7080,6.3940
0.6630,6.3950
0.6890,6.3950
0.6950,6.3970
0.7200,6.4000
0.7530,6.4010
0.7080,6.4020
0.6890,6.4050
0.7160,6.4060
0.6130,6.4080
0.7340,6.4090
1.0640,6.4100
0.6830,6.4120
0.7090,6.4150
0.5480,6.4150
0.6740,6.4160
0.7070,6.4160
0.8570,6.4180
0.6330,6.4190
0.7010,6.4210
0.7040,6.4220
0.8500,6.4220
0.7430,6.4220
0.6380,6.4230
0.8140,6.4240
0.7510,6.4250
0.7020,6.4260
0.7100,6.4270
0.7770,6.4280
0.6870,6.4280
0.6170,6.4280
0.6490,6.4290
0.6650,6.4290
0.7760,6.4320
0.7000,6.4390
0.6770,6.4390
0.7500,6.4390
0.7650,6.4410
0.7310,6.4460
0.6740,6.4460
0.7030,6.4460
0.4740,6.4470
1.5470,6.4480
0.5800,6.4500
0.6630,6.4510
0.6520,6.4520
0.6500,6.4580
0.6310,6.4590
1.4580,6.4620
0.7010,6.4660
0.7700,6.4660
0.7480,6.4690
0.6390,6.4710
0.6990,6.4710
0.6730,6.4730
0.7520,6.4740
0.7570,6.4760
0.7120,6.4770
0.6770,6.4770
0.6860,6.4780
0.7290,6.4780
0.4680,6.4780
0.7150,6.4780
0.8780,6.4790
0.6820,6.4800
0.7680,6.4810
0.7220,6.4810
0.7080,6.4830
0.7120,6.4830
0.7260,6.4830
0.7150,6.4870
0.6990,6.4890
0.7150,6.4890
0.7360,6.4930
0.7610,6.4930
0.8140,6.4930
0.7470,6.4950
0.7370,6.5000
0.7150,6.5020
0.6950,6.5030
0.7200,6.5030
0.7630,6.5040
0.7020,6.5050
0.7120,6.5050
0.7070,6.5080
0.7040,6.5140
0.7350,6.5180
1.5850,6.5190
0.6390,6.5190
0.7630,6.5200
0.7730,6.5200
0.7770,6.5210
0.6870,6.5280
0.7070,6.5290
0.7240,6.5290
0.7450,6.5300
0.7560,6.5310
0.6590,6.5320
0.7620,6.5340
0.7570,6.5360
0.8210,6.5370
0.7640,6.5380
0.6840,6.5400
0.7000,6.5420
0.7210,6.5430
0.7250,6.5450
0.7290,6.5450
0.7700,6.5530
0.7020,6.5560
0.7080,6.5580
0.7090,6.5580
0.7720,6.5590
0.8120,6.5600
0.6980,6.5610
0.6830,6.5610
0.6660,6.5620
0.7350,6.5620
0.7190,6.5630
1.0840,6.5630
0.7740,6.5660
0.7900,6.5680
0.6930,6.5690
0.7390,6.5710
0.7340,6.5720
0.7640,6.5730
0.7870,6.5730
0.8160,6.5740
0.7360,6.5740
0.7300,6.5760
0.7980,6.5790
0.7400,6.5810
0.7280,6.5860
0.7280,6.5900
0.7070,6.5920
0.7300,6.5930
0.7540,6.5930
0.7270,6.5940
0.7240,6.5970
0.6730,6.5980
0.7770,6.6030
0.7760,6.6030
0.7280,6.6030
0.8280,6.6040
0.7300,6.6050
0.6990,6.6110
0.6810,6.6120
0.7220,6.6140
0.7400,6.6150
0.7610,6.6180
0.7280,6.6210
0.6840,6.6210
0.7530,6.6230
0.6720,6.6230
0.7350,6.6250
0.7790,6.6270
0.8480,6.6270
0.6020,6.6310
0.7660,6.6320
0.7900,6.6330
0.7870,6.6370
0.7920,6.6390
0.7790,6.6410
1.2850,6.6410
0.7550,6.6420
0.7070,6.6440
0.7740,6.6450
0.7890,6.6460
0.6520,6.6470
0.7330,6.6480
0.7300,6.6490
0.7240,6.6500
0.7950,6.6510
0.6980,6.6510
0.8760,6.6520
0.8350,6.6520
0.8380,6.6540
0.7590,6.6570
0.7210,6.6580
0.7710,6.6590
1.5100,6.6610
0.7910,6.6610
0.6690,6.6650
0.7530,6.6660
0.8060,6.6690
0.8590,6.6720
0.7210,6.6770
0.6640,6.6820
0.7220,6.6830
0.7190,6.6830
0.7400,6.6830
0.7910,6.6830
0.7590,6.6850
0.7470,6.6860
0.7970,6.6860
0.7110,6.6880
0.7130,6.6880
0.7990,6.6890
0.8460,6.6910
0.7700,6.6920
0.7770,6.6920
0.6910,6.6940
1.2810,6.6950
0.7480,6.6950
1.0310,6.6960
1.2340,6.6980
0.7860,6.7020
0.8200,6.7060
