_RAJ2000;_DEJ2000;RAJ2000;DEJ2000;Bmag;Vmag;Seq;rad;Pkin;Pph;Psp
 50.1299063469;+22.4947544787;  50.12989625;+022.49478576; 11.975; 11.015;  47; 6.4046; 0.0000; 0.0000;0
 50.1316896121;+23.0550751835;  50.13171524;+023.05509193; 10.678;  9.267;  47; 6.2591; 0.0000; 0.0000;1
 50.1335546422;+22.4458321511;  50.13358641;+022.44587279; 11.597; 10.310;  47; 6.4160; 0.0000; 0.0000;0
 50.1372563719;+22.6991888022;  50.13725790;+022.69917908; 12.486; 11.083;  47; 6.3402; 0.0000; 0.4166;1
 50.1422714570;+19.1803981594;  50.14225491;+019.18042159;  8.765;  8.616;  47; 8.0223; 0.0000; 0.0000;0
 50.1425901575;+19.1802787178;  50.14257395;+019.18030594;  9.590;  9.271;  47; 8.0221; 0.0000; 0.0000;0
 50.1441661056;+28.0327525033;  50.14412756;+028.03272917; 13.081; 11.669;  47; 7.0844; 0.0000; 0.0000;0
 50.1500463564;+19.8976511493;  50.15003550;+019.89768000;       ; 11.829;  47; 7.5723; 0.0000; 0.0000;0
 50.1583134697;+17.8688070607;  50.15828331;+017.86887096; 12.020; 11.104;  47; 8.9139; 0.0000; 0.0000;0
 50.1595319506;+26.9273694929;  50.15957312;+026.92737292;  8.945;  7.753;  47; 6.5806; 0.0000; 0.0000;0
 50.1641957139;+29.9080834812;  50.16417603;+029.90812570; 10.053;  9.687;  47; 8.1816; 0.0000; 0.0000;0
 50.1652236059;+28.8265032858;  50.16524230;+028.82666764;  8.998;  8.432;  47; 7.5031; 0.0000; 0.0000;0
 50.1660017335;+22.9801549624;  50.16599695;+022.98015907; 12.575; 11.724;  47; 6.2447; 0.0000; 0.9969;1
 50.1699212298;+29.7249413490;  50.16996178;+029.72495829; 10.956; 10.262;  47; 8.0571; 0.0000; 0.0000;0
 50.1713530929;+30.0657117290;  50.17135812;+030.06576542; 12.440; 11.133;  47; 8.2832; 0.0000; 0.0000;0
 50.1721734968;+26.5809231328;  50.17220174;+026.58091273; 11.535; 10.382;  47; 6.4468; 0.0000; 0.0000;0
 50.1776999828;+28.3113081765;  50.17773060;+028.31132468; 12.103; 11.274;  47; 7.2054; 0.0000; 0.0000;0
